ALB,,,,,NLB,,,,
Attempt,Connect,Waiting,Processing,Total,Attempt,Connect,Waiting,Processing,Total
1,73.5,22.5,25.4,83.3,1,21.1,8,8.1,26.3
2,242.3,22.2,22.6,243.6,2,54.5,42.8,195.8,204.6
3,32.4,32.2,32.6,61.6,3,243.4,24.7,166.6,293.1
4,11.1,5.8,5.9,14.7,4,58.1,30.2,65.8,96.7
5,29,22.2,22.3,42.8,5,123.1,8,8.1,123.5
6,74.9,32,32.5,87.4,6,127,41.9,195.2,237.9
7,74.3,7.2,49.7,90,7,20.4,34.6,63.1,65.1
8,58.7,31.7,32,77.2,8,124.5,28.8,63.3,142.1
9,89.6,36.4,77.2,119.3,9,154.3,45.1,209.5,264.5
10,92.1,74.7,177,206.8,10,102.6,23,60.6,123.3
11,76.2,29.9,32.1,89.7,11,33.4,32.4,32.4,61.9
12,31.3,28.9,34,59.9,12,75.9,30.5,64,106.4
13,146.7,21.2,55.9,156,13,167.8,28.7,28.7,171.9
14,58.2,31.5,31.6,76,14,102.9,22.5,130.9,170.9
15,6.4,7,13.7,17.8,15,32.5,46.9,123.3,139.1
16,152.4,38.8,90.2,179.9,16,91.1,34.6,65.9,119
17,89.7,28.7,60.3,111.2,17,28.1,33.2,88.3,101.2
18,90.1,28.9,29.2,100.2,18,47.9,5.4,5.5,49.2
19,30.7,28.1,30.4,56.4,19,21.5,6.3,6.4,24.5
20,47.9,5.9,5.9,49.2,20,58.3,30.8,31.1,76.4
21,75.3,34,88.9,124.5,21,5.1,6.3,6.3,10.7
22,30.6,29.7,29.9,60.1,22,58,30.6,116.6,137.6
23,31.4,23.4,23.6,52.1,23,4.8,4.8,4.8,9.3
24,75.2,28.3,62.7,105.9,24,5,6.1,45.6,46.3
25,267.8,25.4,28,266.5,25,6.7,6.4,6.4,12.5
26,29.7,31.3,31.6,54.3,26,20.5,6.8,6.9,24.3
27,74.6,22.5,25.6,83.3,27,22.2,6.4,6.5,25.9
28,38.6,23.3,89.5,100.9,28,22.6,7.9,7.9,27.9
29,5,5.3,5.3,10.1,29,4.9,7,7.1,11.4
30,59.1,25,61.6,93.9,30,9.4,21.9,51.3,55.8
31,22.5,6.3,6.5,25.7,31,4.9,6.1,6.2,10.3
32,5.2,5.7,5.6,10.3,32,6.1,6.1,6.1,12
33,21.7,6.9,7.1,25.4,33,6.2,22.6,22.9,27.2
34,53.8,21.6,21.7,64.2,34,6.8,19.4,19.7,22.6
35,7.6,6.7,6.8,14.1,35,5.9,5.9,5.9,11.6
36,6.8,6.9,7,13.6,36,5.8,6.5,6.5,12
37,6.2,6.9,7.1,13.1,37,5.8,6,6.1,11.7
38,22.9,28.8,28.8,36.2,38,9.7,8.1,8,17.1
39,8.5,6.4,14,18.8,39,33.5,23.6,23.7,53.3
40,23.1,23,23.3,40.3,40,5.9,33.3,134.5,134.3
41,6.2,6.4,17.8,20.9,41,20.6,22.8,23,43.3
42,28.7,23.1,25.7,39.5,42,238.5,18,119,265.6
43,70.2,6.8,13.9,72,43,5.9,6.5,6.6,12.2
44,20.9,6.3,6.4,24.1,44,72.8,7.1,7.1,74
45,73.1,6.6,13.7,75.4,45,9.1,6.6,6.6,14.7
46,122.6,6.1,13.8,123.8,46,5,5.4,5.4,10.1
47,5.3,12.1,16.7,19.2,47,279.6,11,11.2,278.4
48,21.3,32.1,63.5,72.5,48,21.9,28.1,59.9,65.7
49,56.6,29.7,62.9,90.6,49,4.7,4.7,4.7,9.2
50,21.1,22.2,22.5,43.5,50,5.1,6.2,6.4,10.8
51,143.8,8.5,8.7,145.2,51,21.8,5.9,5.9,24.6
52,21.3,7.5,14.3,27.8,52,5.2,5.4,5.4,10.4
53,5.8,5.9,5.9,11.5,53,19.5,60.8,72.3,75.6
54,221.2,5.9,6,221.6,54,7.2,13.9,47.9,48.9
55,74.2,34.6,39,89.2,55,5.1,5.5,5.5,10.3
56,4.9,12.9,16.9,18.8,56,5.2,6.2,6.4,11.3
57,30.7,29,29.2,59.1,57,126.2,12.7,12.7,127.3
58,6.4,6,13.3,16.8,58,5.1,10.5,10.7,14.5
59,21.2,8.1,8.2,25.5,59,5.1,5.3,49.4,50.6
60,27.5,21.9,22,47,60,4.9,5,5,9.7
61,21.2,6.9,13.8,27,61,5.8,13.1,13.1,16.1
62,21.7,24.1,24.1,38.7,62,21.8,27.3,64.4,77.4
63,90.2,29.2,64,115.9,63,21,19.1,58.9,67.8
64,7.6,7.1,7.2,14.7,64,4.7,5.1,5.1,9.6
65,22.5,56.8,56.9,79.2,65,6.9,6.7,6.9,13.7
66,57.3,33.8,102.9,125.2,66,5.8,6,6,11.7
67,29.8,32.8,33.1,59,67,6.1,6.1,6.2,12
68,22.9,6.4,6.6,26.4,68,6.8,6.5,6.6,12.7
69,75.1,22.7,26.4,84.7,69,5.9,6.4,6.4,11.5
70,76.5,37,87.6,124,70,5.9,6.3,6.4,11.8
71,70.1,6.1,6.2,70.7,71,24.9,6.4,6.4,27.9
72,21.9,23.8,61.8,74.6,72,5.8,7.5,7.7,12.9
73,6,7.1,7.2,12.8,73,47,5.2,5.2,47.4
74,28,32.3,81.7,96.3,74,16.3,6.2,6.2,19.7
75,28,28,107.2,113.9,75,6,7.1,7.2,12.8
76,75.6,23.5,23.7,83.1,76,6.6,6.8,6.9,13.3
77,3.5,1.9,2,4.6,77,6,7.1,7.2,12.9
78,21.9,10.2,16.3,34.2,78,6.6,6,6.1,12.2
79,4.9,5.2,5.2,9.9,79,6.3,6.3,6.3,12.2
80,66.9,32.8,33,88.3,80,4.7,5.2,5.3,9.7
81,7.5,6.7,6.7,13.6,81,4.9,5,5,9.5
82,6.4,6.1,6,11.9,82,70.5,6.7,6.8,71.8
83,26.8,28,30,49.5,83,5.2,6.5,6.6,10.7
84,100.9,7,7.1,101.4,84,14.8,5.3,5.3,17.8
85,28.2,31.8,64.3,82.8,85,102.2,36.7,82.7,134
86,58.8,33,113.2,135.3,86,4.9,4.9,4.9,9.7
87,58.8,27.1,29.2,74.9,87,136.2,59.6,92.9,162.3
88,31.6,29.3,85.3,100.6,88,75.1,34.1,87.9,118.3
89,7.1,6.1,6.1,12.6,89,5.7,5.7,5.6,11.2
90,20.1,6.5,6.5,23.3,90,55.1,9.3,9.5,61
91,5.9,5.9,12.2,15.5,91,31.5,34.6,86.9,102.9
92,31.6,31.8,32.7,60.7,92,6.2,5,5,10.4
93,57.9,28.1,65.6,95.1,93,76,23.5,23.6,87.5
94,5.1,5.8,23,24.3,94,28.6,23.8,24.2,48.6
95,58.7,31.2,31.4,74.9,95,4.7,5,5,9.6
96,22.1,22.6,26.1,46.7,96,6.7,7,7.1,13.3
97,30.4,32.2,32.5,62.9,97,5.8,6.9,7,12.3
98,32.4,32.8,65.3,84.6,98,5.8,6.6,6.6,12.1
99,23.6,28.3,63.9,72,99,123.3,20.8,21.1,127
100,114.4,34,34.2,123.8,100,89.9,27,64.3,116.9
